********** Monthly MOD08_M3.051 product **********
Selected Application: latlonplot 
Aerosol Optical Depth at 550 nm [unitless] (Optical_Depth_Land_And_Ocean_Mean_Mean)
Selected time period: Jan2013 - Dec2013
Fill value:  -9999.0
User selected area:  (Lat: 23.0N - 55.0N) (Lon: 130.0W - 60.0W)
Actual output area:  (Lat: 23.5N - 54.5N) (Lon: 129.5W - 60.5W)
latitude     longitude      Optical_Depth_Land_And_Ocean_Mean_Mean
(degrees)    (degrees)      [unitless]
28.500     -120.500           0.096
28.500     -119.500           0.105
28.500     -118.500           0.114
28.500     -117.500           0.114
28.500     -116.500           0.114
28.500     -115.500           0.110
28.500     -114.500           0.104
28.500     -113.500           0.160
28.500     -112.500           0.119
28.500     -111.500           0.120
28.500     -110.500           0.070
28.500     -109.500           0.015
28.500     -108.500           0.021
28.500     -107.500           0.035
28.500     -106.500           0.082
28.500     -105.500           0.188
28.500     -104.500           0.161
28.500     -103.500           0.275
28.500     -102.500           0.205
28.500     -101.500           0.112
28.500     -100.500           0.135
28.500      -99.500           0.082
28.500      -98.500           0.091
28.500      -97.500           0.057
28.500      -96.500           0.102
28.500      -95.500           0.149
28.500      -94.500           0.156
28.500      -93.500           0.156
28.500      -92.500           0.143
28.500      -91.500           0.178
28.500      -90.500           0.158
28.500      -89.500           0.150
28.500      -88.500           0.146
28.500      -87.500           0.147
28.500      -86.500           0.142
28.500      -85.500           0.142
28.500      -84.500           0.137
28.500      -83.500           0.132
28.500      -82.500           0.078
28.500      -81.500           0.055
28.500      -80.500           0.106
28.500      -79.500           0.133
28.500      -78.500           0.132
28.500      -77.500           0.138
28.500      -76.500           0.138
28.500      -75.500           0.127
28.500      -74.500           0.123
28.500      -73.500           0.121
28.500      -72.500           0.114
28.500      -71.500           0.113
28.500      -70.500           0.115
28.500      -69.500           0.109
28.500      -68.500           0.103
28.500      -67.500           0.107
28.500      -66.500           0.112
28.500      -65.500           0.115
28.500      -64.500           0.109
28.500      -63.500           0.107
28.500      -62.500           0.105
28.500      -61.500           0.108
28.500      -60.500           0.108
29.500     -129.500           0.097
29.500     -128.500           0.103
29.500     -127.500           0.102
29.500     -126.500           0.103
29.500     -125.500           0.098
29.500     -124.500           0.099
29.500     -123.500           0.115
29.500     -122.500           0.110
29.500     -121.500           0.096
29.500     -120.500           0.098
29.500     -119.500           0.104
29.500     -118.500           0.105
29.500     -117.500           0.109
29.500     -116.500           0.107
29.500     -115.500           0.089
29.500     -114.500           0.104
29.500     -113.500           0.088
29.500     -112.500           0.138
29.500     -111.500           0.144
29.500     -110.500           0.073
29.500     -109.500           0.049
29.500     -108.500           0.027
29.500     -107.500           0.055
29.500     -106.500           0.090
29.500     -105.500           0.285
29.500     -104.500           0.320
29.500     -103.500           0.282
29.500     -102.500           0.249
29.500     -101.500           0.246
29.500     -100.500           0.121
29.500      -99.500           0.052
29.500      -98.500           0.065
29.500      -97.500           0.058
29.500      -96.500           0.050
29.500      -95.500           0.079
29.500      -94.500           0.119
29.500      -93.500           0.141
29.500      -92.500           0.132
29.500      -91.500           0.160
29.500      -90.500           0.111
29.500      -89.500           0.166
29.500      -88.500           0.143
29.500      -87.500           0.150
29.500      -86.500           0.145
29.500      -85.500           0.135
29.500      -84.500           0.126
29.500      -83.500           0.097
29.500      -82.500           0.055
29.500      -81.500           0.067
29.500      -80.500           0.127
29.500      -79.500           0.132
29.500      -78.500           0.137
29.500      -77.500           0.135
29.500      -76.500           0.140
29.500      -75.500           0.129
29.500      -74.500           0.129
29.500      -73.500           0.125
29.500      -72.500           0.121
29.500      -71.500           0.116
29.500      -70.500           0.109
29.500      -69.500           0.110
29.500      -68.500           0.104
29.500      -67.500           0.103
29.500      -66.500           0.107
29.500      -65.500           0.111
29.500      -64.500           0.107
29.500      -63.500           0.112
29.500      -62.500           0.115
29.500      -61.500           0.114
29.500      -60.500           0.111
30.500     -129.500           0.102
30.500     -128.500           0.102
30.500     -127.500           0.105
30.500     -126.500           0.101
30.500     -125.500           0.101
30.500     -124.500           0.108
30.500     -123.500           0.114
30.500     -122.500           0.115
30.500     -121.500           0.101
30.500     -120.500           0.107
30.500     -119.500           0.107
30.500     -118.500           0.107
30.500     -117.500           0.121
30.500     -116.500           0.096
30.500     -115.500           0.069
30.500     -114.500           0.125
30.500     -113.500           0.090
30.500     -112.500           0.294
30.500     -111.500           0.177
30.500     -110.500           0.086
30.500     -109.500           0.104
30.500     -108.500           0.076
30.500     -107.500           0.156
30.500     -106.500           0.191
30.500     -105.500           0.308
30.500     -104.500           0.215
30.500     -103.500           0.143
30.500     -102.500           0.265
30.500     -101.500           0.222
30.500     -100.500           0.137
30.500      -99.500           0.073
30.500      -98.500           0.048
30.500      -97.500           0.065
30.500      -96.500           0.058
30.500      -95.500           0.063
30.500      -94.500           0.061
30.500      -93.500           0.063
30.500      -92.500           0.076
30.500      -91.500           0.071
30.500      -90.500           0.075
30.500      -89.500           0.081
30.500      -88.500           0.098
30.500      -87.500           0.097
30.500      -86.500           0.108
30.500      -85.500           0.073
30.500      -84.500           0.089
30.500      -83.500           0.076
30.500      -82.500           0.076
30.500      -81.500           0.107
30.500      -80.500           0.132
30.500      -79.500           0.135
30.500      -78.500           0.141
30.500      -77.500           0.141
30.500      -76.500           0.135
30.500      -75.500           0.129
30.500      -74.500           0.124
30.500      -73.500           0.122
30.500      -72.500           0.126
30.500      -71.500           0.124
30.500      -70.500           0.117
30.500      -69.500           0.113
30.500      -68.500           0.113
30.500      -67.500           0.112
30.500      -66.500           0.114
30.500      -65.500           0.115
30.500      -64.500           0.117
30.500      -63.500           0.116
30.500      -62.500           0.115
30.500      -61.500           0.114
30.500      -60.500           0.119
31.500     -129.500           0.107
31.500     -128.500           0.107
31.500     -127.500           0.112
31.500     -126.500           0.109
31.500     -125.500           0.108
31.500     -124.500           0.105
31.500     -123.500           0.118
31.500     -122.500           0.123
31.500     -121.500           0.107
31.500     -120.500           0.121
31.500     -119.500           0.110
31.500     -118.500           0.112
31.500     -117.500           0.106
31.500     -116.500           0.035
31.500     -115.500           0.081
31.500     -114.500           0.102
31.500     -113.500           0.133
31.500     -112.500           0.237
31.500     -111.500           0.149
31.500     -110.500           0.111
31.500     -109.500           0.126
31.500     -108.500           0.158
31.500     -107.500           0.226
31.500     -106.500           0.354
31.500     -105.500           0.317
31.500     -104.500           0.210
31.500     -103.500           0.196
31.500     -102.500           0.223
31.500     -101.500           0.182
31.500     -100.500           0.112
31.500      -99.500           0.058
31.500      -98.500           0.049
31.500      -97.500           0.057
31.500      -96.500           0.051
31.500      -95.500           0.049
31.500      -94.500           0.053
31.500      -93.500           0.053
31.500      -92.500           0.053
31.500      -91.500           0.052
31.500      -90.500           0.052
31.500      -89.500           0.058
31.500      -88.500           0.059
31.500      -87.500           0.068
31.500      -86.500           0.075
31.500      -85.500           0.072
31.500      -84.500           0.069
31.500      -83.500           0.079
31.500      -82.500           0.081
31.500      -81.500           0.108
31.500      -80.500           0.133
31.500      -79.500           0.141
31.500      -78.500           0.146
31.500      -77.500           0.139
31.500      -76.500           0.134
31.500      -75.500           0.128
31.500      -74.500           0.126
31.500      -73.500           0.122
31.500      -72.500           0.127
31.500      -71.500           0.121
31.500      -70.500           0.125
31.500      -69.500           0.124
31.500      -68.500           0.116
31.500      -67.500           0.117
31.500      -66.500           0.121
31.500      -65.500           0.123
31.500      -64.500           0.125
31.500      -63.500           0.122
31.500      -62.500           0.122
31.500      -61.500           0.121
31.500      -60.500           0.127
32.500     -129.500           0.108
32.500     -128.500           0.111
32.500     -127.500           0.119
32.500     -126.500           0.112
32.500     -125.500           0.108
32.500     -124.500           0.115
32.500     -123.500           0.116
32.500     -122.500           0.114
32.500     -121.500           0.120
32.500     -120.500           0.109
32.500     -119.500           0.106
32.500     -118.500           0.102
32.500     -117.500           0.115
32.500     -116.500           0.028
32.500     -115.500           0.180
32.500     -114.500           0.210
32.500     -113.500           0.243
32.500     -112.500           0.255
32.500     -111.500           0.226
32.500     -110.500           0.178
32.500     -109.500           0.214
32.500     -108.500           0.157
32.500     -107.500           0.224
32.500     -106.500           0.244
32.500     -105.500           0.115
32.500     -104.500           0.198
32.500     -103.500           0.114
32.500     -102.500           0.054
32.500     -101.500           0.094
32.500     -100.500           0.067
32.500      -99.500           0.045
32.500      -98.500           0.042
32.500      -97.500           0.072
32.500      -96.500           0.074
32.500      -95.500           0.053
32.500      -94.500           0.049
32.500      -93.500           0.048
32.500      -92.500           0.052
32.500      -91.500           0.068
32.500      -90.500           0.060
32.500      -89.500           0.068
32.500      -88.500           0.067
32.500      -87.500           0.071
32.500      -86.500           0.070
32.500      -85.500           0.063
32.500      -84.500           0.065
32.500      -83.500           0.073
32.500      -82.500           0.071
32.500      -81.500           0.076
32.500      -80.500           0.119
32.500      -79.500           0.142
32.500      -78.500           0.138
32.500      -77.500           0.140
32.500      -76.500           0.137
32.500      -75.500           0.144
32.500      -74.500           0.141
32.500      -73.500           0.136
32.500      -72.500           0.129
32.500      -71.500           0.123
32.500      -70.500           0.126
32.500      -69.500           0.126
32.500      -68.500           0.122
32.500      -67.500           0.126
32.500      -66.500           0.130
32.500      -65.500           0.127
32.500      -64.500           0.131
32.500      -63.500           0.130
32.500      -62.500           0.134
32.500      -61.500           0.130
32.500      -60.500           0.133
33.500     -129.500           0.119
33.500     -128.500           0.114
33.500     -127.500           0.123
33.500     -126.500           0.123
33.500     -125.500           0.119
33.500     -124.500           0.123
33.500     -123.500           0.115
33.500     -122.500           0.112
33.500     -121.500           0.143
33.500     -120.500           0.117
33.500     -119.500           0.108
33.500     -118.500           0.183
33.500     -117.500           0.081
33.500     -116.500           0.043
33.500     -115.500           0.164
33.500     -114.500           0.266
33.500     -113.500           0.296
33.500     -112.500           0.254
33.500     -111.500           0.172
33.500     -110.500           0.119
33.500     -109.500           0.103
33.500     -108.500           0.085
33.500     -107.500           0.154
33.500     -106.500           0.187
33.500     -105.500           0.109
33.500     -104.500           0.175
33.500     -103.500           0.084
33.500     -102.500           0.060
33.500     -101.500           0.069
33.500     -100.500           0.070
33.500      -99.500           0.058
33.500      -98.500           0.047
33.500      -97.500           0.061
33.500      -96.500           0.068
33.500      -95.500           0.057
33.500      -94.500           0.058
33.500      -93.500           0.053
33.500      -92.500           0.056
33.500      -91.500           0.077
33.500      -90.500           0.118
33.500      -89.500           0.057
33.500      -88.500           0.069
33.500      -87.500           0.060
33.500      -86.500           0.055
33.500      -85.500           0.045
33.500      -84.500           0.072
33.500      -83.500           0.065
33.500      -82.500           0.056
33.500      -81.500           0.050
33.500      -80.500           0.061
33.500      -79.500           0.070
33.500      -78.500           0.130
33.500      -77.500           0.138
33.500      -76.500           0.136
33.500      -75.500           0.140
33.500      -74.500           0.142
33.500      -73.500           0.149
33.500      -72.500           0.144
33.500      -71.500           0.134
33.500      -70.500           0.132
33.500      -69.500           0.129
33.500      -68.500           0.136
33.500      -67.500           0.135
33.500      -66.500           0.136
33.500      -65.500           0.135
33.500      -64.500           0.134
33.500      -63.500           0.137
33.500      -62.500           0.138
33.500      -61.500           0.141
33.500      -60.500           0.139
34.500     -129.500           0.120
34.500     -128.500           0.122
34.500     -127.500           0.125
34.500     -126.500           0.122
34.500     -125.500           0.128
34.500     -124.500           0.131
34.500     -123.500           0.126
34.500     -122.500           0.126
34.500     -121.500           0.119
34.500     -120.500           0.065
34.500     -119.500           0.046
34.500     -118.500           0.071
34.500     -117.500           0.136
34.500     -116.500           0.145
34.500     -115.500           0.295
34.500     -114.500           0.297
34.500     -113.500           0.177
34.500     -112.500           0.111
34.500     -111.500           0.098
34.500     -110.500           0.070
34.500     -109.500           0.146
34.500     -108.500           0.119
34.500     -107.500           0.142
34.500     -106.500           0.108
34.500     -105.500           0.075
34.500     -104.500           0.089
34.500     -103.500           0.090
34.500     -102.500           0.079
34.500     -101.500           0.083
34.500     -100.500           0.067
34.500      -99.500           0.064
34.500      -98.500           0.055
34.500      -97.500           0.050
34.500      -96.500           0.050
34.500      -95.500           0.054
34.500      -94.500           0.057
34.500      -93.500           0.055
34.500      -92.500           0.068
34.500      -91.500           0.100
34.500      -90.500           0.103
34.500      -89.500           0.054
34.500      -88.500           0.063
34.500      -87.500           0.064
34.500      -86.500           0.063
34.500      -85.500           0.064
34.500      -84.500           0.069
34.500      -83.500           0.076
34.500      -82.500           0.058
34.500      -81.500           0.054
34.500      -80.500           0.065
34.500      -79.500           0.065
34.500      -78.500           0.062
34.500      -77.500           0.090
34.500      -76.500           0.127
34.500      -75.500           0.135
34.500      -74.500           0.136
34.500      -73.500           0.147
34.500      -72.500           0.145
34.500      -71.500           0.140
34.500      -70.500           0.137
34.500      -69.500           0.132
34.500      -68.500           0.139
34.500      -67.500           0.135
34.500      -66.500           0.137
34.500      -65.500           0.134
34.500      -64.500           0.141
34.500      -63.500           0.137
34.500      -62.500           0.135
34.500      -61.500           0.141
34.500      -60.500           0.145
35.500     -129.500           0.123
35.500     -128.500           0.123
35.500     -127.500           0.125
35.500     -126.500           0.127
35.500     -125.500           0.131
35.500     -124.500           0.132
35.500     -123.500           0.132
35.500     -122.500           0.132
35.500     -121.500           0.085
35.500     -120.500           0.033
35.500     -119.500           0.107
35.500     -118.500           0.058
35.500     -117.500           0.348
35.500     -116.500           0.376
35.500     -115.500           0.290
35.500     -114.500           0.282
35.500     -113.500           0.116
35.500     -112.500           0.095
35.500     -111.500           0.146
35.500     -110.500           0.183
35.500     -109.500           0.102
35.500     -108.500           0.071
35.500     -107.500           0.110
35.500     -106.500           0.137
35.500     -105.500           0.059
35.500     -104.500           0.068
35.500     -103.500           0.091
35.500     -102.500           0.123
35.500     -101.500           0.143
35.500     -100.500           0.101
35.500      -99.500           0.058
35.500      -98.500           0.054
35.500      -97.500           0.062
35.500      -96.500           0.053
35.500      -95.500           0.076
35.500      -94.500           0.072
35.500      -93.500           0.059
35.500      -92.500           0.058
35.500      -91.500           0.085
35.500      -90.500           0.124
35.500      -89.500           0.083
35.500      -88.500           0.071
35.500      -87.500           0.054
35.500      -86.500           0.057
35.500      -85.500           0.059
35.500      -84.500           0.071
35.500      -83.500           0.054
35.500      -82.500           0.054
35.500      -81.500           0.058
35.500      -80.500           0.062
35.500      -79.500           0.048
35.500      -78.500           0.067
35.500      -77.500           0.070
35.500      -76.500           0.079
35.500      -75.500           0.120
35.500      -74.500           0.135
35.500      -73.500           0.145
35.500      -72.500           0.145
35.500      -71.500           0.144
35.500      -70.500           0.135
35.500      -69.500           0.138
35.500      -68.500           0.147
35.500      -67.500           0.143
35.500      -66.500           0.137
35.500      -65.500           0.139
35.500      -64.500           0.147
35.500      -63.500           0.144
35.500      -62.500           0.138
35.500      -61.500           0.138
35.500      -60.500           0.143
36.500     -129.500           0.117
36.500     -128.500           0.125
36.500     -127.500           0.122
36.500     -126.500           0.135
36.500     -125.500           0.131
36.500     -124.500           0.127
36.500     -123.500           0.126
36.500     -122.500           0.131
36.500     -121.500           0.023
36.500     -120.500           0.077
36.500     -119.500           0.103
36.500     -118.500           0.072
36.500     -117.500           0.243
36.500     -116.500           0.318
36.500     -115.500           0.322
36.500     -114.500           0.277
36.500     -113.500           0.127
36.500     -112.500           0.072
36.500     -111.500           0.104
36.500     -110.500           0.086
36.500     -109.500           0.062
36.500     -108.500           0.096
36.500     -107.500           0.113
36.500     -106.500           0.081
36.500     -105.500           0.087
