"","easting","northing","pm25"
"192",-2012866.41393744,322507.180650375,9.663025
"193",-1558834.12464942,156771.282163213,1.944186
"194",1950684.44552194,856219.68678904,2.556863
"195",1941922.53101425,687157.490388412,2.784
"196",1981039.74512603,697956.361817806,4.331915
"197",1827411.27928837,268520.609517178,5.781633
"198",1759236.90831492,305950.780989674,10.564368
"199",1815661.72287593,409183.575597112,9.863265
"200",1803371.35295612,377848.210655075,9.371732
"201",1774443.21399263,406863.817580239,7.627551
"202",1816488.64602164,400292.865189066,11.266667
"203",-959587.438290005,-373265.326339129,5.753535
"204",-1136769.5529552,-564935.158499136,2.677083
"205",-779642.310648603,-578799.933381886,6.792157
"206",-884069.357447909,-567505.041165263,4.152941
"207",-925295.305105333,-302397.618121114,2.945098
"208",-971478.543436093,-273586.912022381,2.511628
"209",-1000368.02321031,-509720.633368176,4.418182
"210",-840642.338206704,-224397.522008419,2.104444
"211",1799900.22614585,625067.193350002,8.391379
"212",1391602.87280654,562074.651575658,10.418644
"213",1744871.8166736,811832.947402503,4.886667
"214",1486353.13159704,611321.376306858,7.581481
"215",1831979.96183065,412422.138389928,11.127586
"216",1845569.66089938,418271.06001735,8.980165
"217",1537196.7728052,502195.230478788,6.617476
"218",1258744.7021647,-238781.377016169,4.851064
"219",1206918.3829951,-287580.735717407,8.756667
"220",1313411.59525097,-257445.107634741,10.108772
"221",1409829.30840853,-231615.766446151,9.807018
"222",1407353.46391729,-198695.281317511,9.280357
"223",1191890.88026746,-315395.492893399,3.426
"224",1776678.53658925,-200325.228416455,5.717391
"225",1373984.19395814,-302408.845496202,9.422414
"226",1403032.8416811,-262364.203199105,9.965
"227",1558445.00566984,-199594.753647808,9.349123
"228",-564124.446602787,899823.435035115,3.147826
"229",-475953.176878822,1088014.50369406,4.50625
"230",-65424.9552861959,881685.228882657,8.290756
"231",1185457.20764376,368283.693041825,12.524561
"232",1185517.8899778,369991.913424637,14.4233685
"233",1102433.83420952,199707.512660869,10.872131
"234",986001.650888478,76527.4376832929,10.5875
"235",1293680.24484859,261080.250465066,22.225
"236",1295280.79401622,256355.02553138,15.764286
"237",1153216.18541845,29886.0500180381,11.166071
"238",1150214.81365022,361224.028240734,10.243103
"239",1022105.07075488,360346.425798331,10.68
"240",1276541.72814712,340338.58447259,11.633333
"241",1003926.78508724,149551.70380701,11.008475
