Latitude	Longitude	pm25
39.77949	-105.00518	7.877551
40.5383	-106.6766	1.594
37.30389	-107.484167	3.62549
40.277204	-105.545595	1.860417
37.198333	-108.490278	3.3895835
39.154	-106.821	1.74902
39.9153	-107.6345	1.798039
37.659409	-107.800541	2.713725
40.209387	-104.82405	8.357895
41.821342	-73.297257	3.503922
41.3014	-72.902871	9.182105
39.155	-75.518056	8.479661
39.739444	-75.558056	9.276744
38.880833	-77.0325	6.994
38.921847	-77.013178	9.5825
26.083143	-80.237586	7.625882
28.748678	-82.554769	6.594118
27.96565	-82.2304	8.544737
30.439722	-84.346389	9.636842
25.388333	-80.683333	5.580392
27.850348	-82.714465	7.745902
30.0925	-84.161111	6.82449
32.777455	-83.641096	9.486441
30.740718	-82.128154	6.358824
33.945833	-83.372222	10.062069
31.513287	-82.750141	8.277966
33.68797	-84.29048	10.292929
34.26054	-85.32333	10.556667
34.785197	-84.626422	5.22
32.42905	-84.9316	10.078689
33.433349	-82.022217	9.796364
34.97889	-85.30098	9.881967
19.433611	-155.261111	5.482
21.323745	-158.088613	4.619469
20.7585	-156.24789	2.478378
43.600699	-116.347853	11.983621
43.460556	-113.562222	1.808511
44.170385	-114.928034	1.460465
40.052242	-88.372549	7.954902
41.912862	-87.722723	10.763333
41.7514	-87.713488	10.58
42.139996	-87.799227	8.975581
41.771071	-88.152534	9.208475
38.700632	-90.144763	1.036364
38.848382	-90.076413	10.181667
38.525945	-90.0391	9.454098
38.277675	-85.740153	11.470175
38.391443	-86.92916	10.669492
41.656905	-85.968372	10.135593
40.009525	-85.523455	9.647368
41.60668	-87.304729	11.272881
39.811097	-86.114469	10.921505
38.013248	-87.577856	10.303333
41.97677	-91.68766	9.578333
40.969112	-95.044951	6.828
41.603159	-93.643118	8.320339
41.530011	-90.587611	10.222124
40.695078	-92.006318	6.380392
38.434141	-96.5605	6.054
37.702066	-97.314847	8.855932
38.770081	-99.763424	5.302
39.117219	-94.635605	10.665306
38.45934	-82.64041	9.457627
38.23887	-82.9881	8.031667
37.131944	-86.147778	6.317647
38.06503	-84.49761	9.354098
38.22876	-85.65452	10.959322
32.53626	-93.74891	10.228302
30.46198	-91.17922	10.474766
