"","V1","V2","V3"
"523",30.5,-97.5,0.065
"524",30.5,-96.5,0.058
"525",30.5,-95.5,0.063
"526",30.5,-94.5,0.061
"527",30.5,-93.5,0.063
"528",30.5,-92.5,0.076
"529",30.5,-91.5,0.071
"530",30.5,-90.5,0.075
"531",30.5,-89.5,0.081
"532",30.5,-88.5,0.098
"533",30.5,-87.5,0.097
"534",30.5,-86.5,0.108
"535",30.5,-85.5,0.073
"536",30.5,-84.5,0.089
"537",30.5,-83.5,0.076
"538",30.5,-82.5,0.076
"539",30.5,-81.5,0.107
"540",30.5,-80.5,0.132
"541",30.5,-79.5,0.135
"542",30.5,-78.5,0.141
"543",30.5,-77.5,0.141
"544",30.5,-76.5,0.135
"545",30.5,-75.5,0.129
"546",30.5,-74.5,0.124
"547",30.5,-73.5,0.122
"548",30.5,-72.5,0.126
"549",30.5,-71.5,0.124
"550",30.5,-70.5,0.117
"551",30.5,-69.5,0.113
"552",30.5,-68.5,0.113
"553",30.5,-67.5,0.112
"554",30.5,-66.5,0.114
"555",30.5,-65.5,0.115
"556",30.5,-64.5,0.117
"557",30.5,-63.5,0.116
"558",30.5,-62.5,0.115
"559",30.5,-61.5,0.114
"560",30.5,-60.5,0.119
"561",31.5,-129.5,0.107
"562",31.5,-128.5,0.107
"563",31.5,-127.5,0.112
"564",31.5,-126.5,0.109
"565",31.5,-125.5,0.108
"566",31.5,-124.5,0.105
"567",31.5,-123.5,0.118
"568",31.5,-122.5,0.123
"569",31.5,-121.5,0.107
"570",31.5,-120.5,0.121
"571",31.5,-119.5,0.11
"572",31.5,-118.5,0.112
"573",31.5,-117.5,0.106
"574",31.5,-116.5,0.035
"575",31.5,-115.5,0.081
"576",31.5,-114.5,0.102
"577",31.5,-113.5,0.133
"578",31.5,-112.5,0.237
"579",31.5,-111.5,0.149
"580",31.5,-110.5,0.111
"581",31.5,-109.5,0.126
"582",31.5,-108.5,0.158
"583",31.5,-107.5,0.226
"584",31.5,-106.5,0.354
"585",31.5,-105.5,0.317
"586",31.5,-104.5,0.21
"587",31.5,-103.5,0.196
"588",31.5,-102.5,0.223
"589",31.5,-101.5,0.182
